id,hour,lat,lon,mag,depth,nsta,label
00889,04,34.1453,139.3703,4.4,16.0,38,1
00891,05,34.1432,139.3747,4.1,16.2,41,1
00893,10,34.2653,139.2268,3.6,10.2,9,1
00895,10,34.2992,139.2668,3.3,12.1,22,1
00896,11,34.1532,139.2877,4.4,15.4,39,1
00899,14,34.3163,139.1840,2.6,0.0,35,1
00900,15,34.4657,139.1428,4.3,12.5,36,1
00901,07,34.2190,139.2460,3.2,14.1,25,1
00902,09,34.2960,139.2698,3.3,13.4,23,1
00906,20,34.5003,139.2487,3.0,8.2,35,1
00907,22,34.1618,139.3722,5.0,15.2,36,1
00912,05,34.2848,139.1138,3.6,9.2,26,1
00913,05,34.1492,139.3147,3.6,15.8,29,1
00914,05,34.1518,139.3163,3.7,15.0,28,1
00916,06,34.1680,139.2535,4.2,18.0,38,1
00918,07,34.1737,139.3078,3.4,14.3,38,1
00919,07,34.1522,139.3273,4.1,15.6,38,1
00921,20,34.1818,139.2502,3.3,14.7,24,1
00922,21,34.1882,139.2557,4.6,14.1,23,1
00923,07,34.3952,139.1960,4.2,11.5,23,1
00928,21,33.9260,139.4907,4.6,13.0,21,1
00929,22,34.1602,139.3608,4.4,11.9,36,1
00930,22,34.1565,139.3705,3.3,11.6,26,1
00931,10,34.1772,139.2907,4.0,16.6,37,1
00933,01,34.1702,139.3037,4.5,16.5,38,1
00938,07,34.2348,139.2572,3.4,12.5,26,1
00939,07,34.2135,139.2698,3.4,14.9,27,1
00941,08,34.2460,139.2707,4.0,13.6,25,1
00942,14,31.1208,131.4638,5.3,33.5,24,1
00943,15,34.2858,139.1328,3.2,8.7,33,1
00946,16,34.1792,139.2763,4.4,13.4,34,1
00948,16,34.2008,139.2507,4.5,14.8,38,1
00952,17,34.1848,139.2715,3.4,15.1,30,1
00954,17,34.1872,139.2637,3.9,15.7,25,1
00955,17,34.1810,139.2245,3.2,17.0,19,1
00959,17,34.2027,139.2535,3.2,14.6,21,1
00965,18,34.2010,139.2508,3.6,14.6,33,1
00967,18,34.1508,139.3043,4.5,14.6,25,1
00970,19,34.2115,139.2443,3.2,14.8,23,1
00971,19,34.2068,139.2360,4.3,13.8,24,1
00974,19,34.1853,139.2250,3.3,18.4,13,1
00975,19,34.1843,139.2402,4.3,17.2,13,1
00976,19,34.2287,139.2492,4.1,11.8,21,1
00978,19,34.1842,139.2745,3.9,12.3,23,1
00982,20,34.2172,139.2427,3.2,13.7,25,1
00988,20,34.2512,139.2487,3.6,12.3,20,1
00990,21,34.2138,139.2262,4.4,12.8,24,1
00991,21,34.1978,139.2357,4.5,13.6,36,1
00992,21,34.0825,139.3077,4.9,22.9,19,1
00993,21,34.2230,139.2255,4.0,13.9,18,1
00994,21,34.1218,139.3490,4.2,14.4,28,1
00995,22,34.2227,139.2305,3.2,14.1,23,1
00996,22,34.2230,139.2195,3.2,14.4,27,1
00997,22,34.3658,139.1758,2.8,0.0,24,1
01004,23,34.2302,139.2213,4.3,14.2,25,1
01005,00,34.2245,139.2182,3.8,15.2,24,1
01006,00,34.2228,139.2340,3.7,14.3,20,1
01007,00,34.2300,139.2040,3.1,13.3,25,1
01008,00,34.2243,139.2317,3.2,13.8,25,1
01010,00,34.2347,139.2250,4.3,14.4,26,1
01011,00,34.2448,139.2405,3.4,11.5,26,1
01012,00,34.2372,139.2135,3.9,12.3,18,1
01014,01,34.2062,139.2282,3.3,15.2,23,1
01019,02,34.2288,139.2293,2.9,12.9,36,1
01022,03,34.3033,139.2173,2.8,0.0,20,1
01029,04,34.2180,139.1778,3.5,10.9,13,1
01031,04,34.2190,139.2410,3.2,14.5,26,1
01033,05,34.2360,139.2288,3.1,12.3,25,1
01036,05,34.2287,139.2028,4.5,13.5,40,1
01038,05,34.2088,139.2108,3.3,12.9,24,1
01046,11,34.2790,139.1930,3.4,8.4,26,1
01048,13,34.2218,139.2122,4.1,0.0,26,1
01052,20,34.2270,139.2392,4.1,12.5,38,1
